reading uai file ../../../data//2BBN.uai
done reading uai file
normalizing #tables=703
prob.N=1
param.gamma=0.001
iter=83, primal_obj=3798.09, best_primal_obj=6317.48, dual_obj=22209.6, relaxed_primal=22626, relaxed_dual=22209.7, grad_l2=10.9636, infea_inf(ratio=max/min)=e^(120.03), int_gap=663.029, pow_l1=8.42806e+10, time=140.072
iter=84, primal_obj=4923.61, best_primal_obj=6317.48, dual_obj=22206.7, relaxed_primal=22553.6, relaxed_dual=22206.7, grad_l2=12.0518, infea_inf(ratio=max/min)=e^(120.04), int_gap=662.039, pow_l1=8.48211e+10, time=141.712
iter=85, primal_obj=4506.96, best_primal_obj=6317.48, dual_obj=22197.6, relaxed_primal=22618.1, relaxed_dual=22197.7, grad_l2=10.909, infea_inf(ratio=max/min)=e^(120), int_gap=665.001, pow_l1=8.55014e+10, time=143.319
iter=86, primal_obj=5068.95, best_primal_obj=6317.48, dual_obj=22195.1, relaxed_primal=22580.7, relaxed_dual=22195.2, grad_l2=12.139, infea_inf(ratio=max/min)=e^(120), int_gap=663.773, pow_l1=8.60511e+10, time=144.97
iter=87, primal_obj=3549.65, best_primal_obj=6317.48, dual_obj=22185.6, relaxed_primal=22608.9, relaxed_dual=22185.7, grad_l2=11.3233, infea_inf(ratio=max/min)=e^(120.002), int_gap=658.002, pow_l1=8.67409e+10, time=146.579
iter=88, primal_obj=4715.24, best_primal_obj=6317.48, dual_obj=22184.6, relaxed_primal=22568.7, relaxed_dual=22184.7, grad_l2=12.2156, infea_inf(ratio=max/min)=e^(120.002), int_gap=663.871, pow_l1=8.73323e+10, time=148.222
iter=89, primal_obj=4727.09, best_primal_obj=6317.48, dual_obj=22177, relaxed_primal=22557.5, relaxed_dual=22177.1, grad_l2=11.0042, infea_inf(ratio=max/min)=e^(120.009), int_gap=662.008, pow_l1=8.80185e+10, time=149.851
iter=90, primal_obj=4478.45, best_primal_obj=6317.48, dual_obj=22172.8, relaxed_primal=22631, relaxed_dual=22172.9, grad_l2=12.0409, infea_inf(ratio=max/min)=e^(120.21), int_gap=661.217, pow_l1=8.8553e+10, time=151.497
iter=91, primal_obj=4275.95, best_primal_obj=6317.48, dual_obj=22167.3, relaxed_primal=22572.3, relaxed_dual=22167.4, grad_l2=11.6747, infea_inf(ratio=max/min)=e^(120.288), int_gap=665.349, pow_l1=8.92355e+10, time=153.139
iter=92, primal_obj=3740.22, best_primal_obj=6317.48, dual_obj=22160.1, relaxed_primal=22572.5, relaxed_dual=22160.2, grad_l2=12.109, infea_inf(ratio=max/min)=e^(120.003), int_gap=662.003, pow_l1=8.98342e+10, time=154.792
