reading uai file ../../../data//2BBN.uai
done reading uai file
normalizing #tables=703
prob.avg_domain_size=154.378
prob.N=1
param.rho=1
param.eta=1
@0: T=37, n=15506754, nf=0, m=0, me=205669
iter=355, #inner=283, relaxed-p-obj=13936.95, decoded_t=9629.969, best_decoded=10194.21, eta=1, p_inf=0.16, d_inf=0.0053, gap=0.073, nnz=48745(0.0035), time=1.7e+03
iter=360, #inner=290, relaxed-p-obj=13935.98, decoded_t=9879.667, best_decoded=10194.21, eta=1, p_inf=0.16, d_inf=0.0029, gap=0.072, nnz=46906(0.0034), time=1.7e+03
iter=365, #inner=286, relaxed-p-obj=13940.78, decoded_t=9879.667, best_decoded=10194.21, eta=1, p_inf=0.16, d_inf=0.0035, gap=0.071, nnz=48089(0.0035), time=1.7e+03
iter=370, #inner=280, relaxed-p-obj=13939.5, decoded_t=9879.667, best_decoded=10194.21, eta=1, p_inf=0.15, d_inf=0.0051, gap=0.07, nnz=49010(0.0036), time=1.8e+03
iter=375, #inner=277, relaxed-p-obj=13940.67, decoded_t=9879.667, best_decoded=10194.21, eta=1, p_inf=0.16, d_inf=0.00073, gap=0.069, nnz=49615(0.0036), time=1.8e+03
iter=380, #inner=279, relaxed-p-obj=13962.88, decoded_t=9879.667, best_decoded=10194.21, eta=1, p_inf=0.14, d_inf=0.0024, gap=0.066, nnz=48835(0.0036), time=1.8e+03
iter=385, #inner=283, relaxed-p-obj=13975.56, decoded_t=9859.728, best_decoded=10194.21, eta=1, p_inf=0.14, d_inf=0.0034, gap=0.065, nnz=48429(0.0035), time=1.8e+03
iter=390, #inner=280, relaxed-p-obj=13992.33, decoded_t=9859.728, best_decoded=10194.21, eta=1, p_inf=0.15, d_inf=0.0032, gap=0.062, nnz=48491(0.0035), time=1.8e+03
iter=395, #inner=280, relaxed-p-obj=13988.82, decoded_t=9859.728, best_decoded=10194.21, eta=1, p_inf=0.15, d_inf=0.0031, gap=0.062, nnz=48839(0.0036), time=1.8e+03
iter=400, #inner=276, relaxed-p-obj=13980.66, decoded_t=9859.728, best_decoded=10194.21, eta=1, p_inf=0.15, d_inf=0.0019, gap=0.062, nnz=49323(0.0036), time=1.9e+03
iter=405, #inner=276, relaxed-p-obj=13985.72, decoded_t=9742.005, best_decoded=10194.21, eta=1, p_inf=0.15, d_inf=0.00052, gap=0.061, nnz=49776(0.0036), time=1.9e+03
iter=410, #inner=273, relaxed-p-obj=13981.62, decoded_t=9859.728, best_decoded=10194.21, eta=1, p_inf=0.15, d_inf=0.0029, gap=0.06, nnz=50254(0.0037), time=1.9e+03
iter=415, #inner=274, relaxed-p-obj=13996.53, decoded_t=9742.005, best_decoded=10194.21, eta=1, p_inf=0.13, d_inf=0.002, gap=0.058, nnz=49281(0.0036), time=1.9e+03
iter=420, #inner=275, relaxed-p-obj=13999.48, decoded_t=9742.005, best_decoded=10194.21, eta=1, p_inf=0.13, d_inf=0.0014, gap=0.057, nnz=50038(0.0037), time=1.9e+03
iter=425, #inner=269, relaxed-p-obj=13990.94, decoded_t=9742.005, best_decoded=10194.21, eta=1, p_inf=0.13, d_inf=0.00029, gap=0.057, nnz=50603(0.0037), time=1.9e+03
iter=430, #inner=273, relaxed-p-obj=13995.52, decoded_t=9742.005, best_decoded=10194.21, eta=1, p_inf=0.13, d_inf=0.00036, gap=0.056, nnz=50023(0.0037), time=2e+03
iter=435, #inner=271, relaxed-p-obj=13990.44, decoded_t=9742.005, best_decoded=10194.21, eta=1, p_inf=0.12, d_inf=0.0025, gap=0.056, nnz=50512(0.0037), time=2e+03
iter=440, #inner=270, relaxed-p-obj=13985.88, decoded_t=9742.005, best_decoded=10194.21, eta=1, p_inf=0.12, d_inf=0.0038, gap=0.055, nnz=50811(0.0037), time=2e+03
iter=445, #inner=270, relaxed-p-obj=13969.64, decoded_t=9742.005, best_decoded=10194.21, eta=1, p_inf=0.12, d_inf=0.00027, gap=0.056, nnz=50999(0.0037), time=2e+03
iter=450, #inner=265, relaxed-p-obj=13982.55, decoded_t=9742.005, best_decoded=10194.21, eta=1, p_inf=0.12, d_inf=0.00067, gap=0.054, nnz=51668(0.0038), time=2e+03
iter=455, #inner=265, relaxed-p-obj=13976.27, decoded_t=9742.005, best_decoded=10194.21, eta=1, p_inf=0.12, d_inf=0.00082, gap=0.054, nnz=51047(0.0037), time=2e+03
iter=460, #inner=263, relaxed-p-obj=13972.83, decoded_t=9742.005, best_decoded=10194.21, eta=1, p_inf=0.12, d_inf=0.00046, gap=0.053, nnz=52088(0.0038), time=2.1e+03
iter=465, #inner=262, relaxed-p-obj=13978, decoded_t=9742.005, best_decoded=10194.21, eta=1, p_inf=0.12, d_inf=0.004, gap=0.052, nnz=50841(0.0037), time=2.1e+03
iter=470, #inner=266, relaxed-p-obj=13975.78, decoded_t=9742.005, best_decoded=10194.21, eta=1, p_inf=0.12, d_inf=0.00086, gap=0.052, nnz=51106(0.0037), time=2.1e+03
iter=475, #inner=262, relaxed-p-obj=13968.44, decoded_t=9368.297, best_decoded=10194.21, eta=1, p_inf=0.12, d_inf=0.00042, gap=0.051, nnz=52275(0.0038), time=2.1e+03
