TRWS  Tests ...
loading .h5 file ../../../data//2BBN.uai.h5................done
algorithm constructing...
algorithm starting...
best_value=11732.4, lower_bound=-12450.5, time=29.4531
best_value=11732.4, lower_bound=-12450.4, time=29.513
best_value=11732.4, lower_bound=-12450.3, time=29.5731
best_value=11732.4, lower_bound=-12450.1, time=29.6329
best_value=11732.4, lower_bound=-12450, time=29.6929
best_value=11732.4, lower_bound=-12449.9, time=29.7528
best_value=11732.4, lower_bound=-12449.8, time=29.8127
best_value=11732.4, lower_bound=-12449.7, time=29.8727
best_value=11732.4, lower_bound=-12449.6, time=29.9324
best_value=11732.4, lower_bound=-12449.5, time=29.9931
best_value=11732.4, lower_bound=-12449.4, time=30.0537
best_value=11732.4, lower_bound=-12449.2, time=30.1133
best_value=11732.4, lower_bound=-12449.1, time=30.1733
best_value=11732.4, lower_bound=-12449, time=30.2338
best_value=11732.4, lower_bound=-12448.9, time=30.2937
best_value=11732.4, lower_bound=-12448.8, time=30.3536
best_value=11732.4, lower_bound=-12448.7, time=30.4141
best_value=11732.4, lower_bound=-12448.6, time=30.4739
best_value=11732.4, lower_bound=-12448.5, time=30.5343
best_value=11732.4, lower_bound=-12448.4, time=30.5941
best_value=11732.4, lower_bound=-12448.3, time=30.6539
best_value=11732.4, lower_bound=-12448.2, time=30.7135
best_value=11732.4, lower_bound=-12448.1, time=30.7738
best_value=11732.4, lower_bound=-12448, time=30.8339
best_value=11732.4, lower_bound=-12447.9, time=30.894
best_value=11732.4, lower_bound=-12447.8, time=30.9539
best_value=11732.4, lower_bound=-12447.7, time=31.0138
best_value=11732.4, lower_bound=-12447.6, time=31.0738
best_value=11732.4, lower_bound=-12447.5, time=31.1338
best_value=11732.4, lower_bound=-12447.4, time=31.194
best_value=11732.4, lower_bound=-12447.3, time=31.2541
best_value=11732.4, lower_bound=-12447.2, time=31.314
