reading loguai file ../../../data/107network//107network.loguai2
#factors=1864
reading function tables.done reading loguai file
normalizing #tables=189
done normalizing
prob.N=1
param.gamma=0.0001
iter=59, primal_obj=3732, best_primal_obj=3732, dual_obj=3733.77, relaxed_primal=3733, relaxed_dual=3733.78, grad_l2=1.17028, infea_inf(ratio=max/min)=e^(121.595), int_gap=195.109, pow_l1=inf, time=13027.9
iter=60, primal_obj=3697, best_primal_obj=3732, dual_obj=3733.69, relaxed_primal=3731.23, relaxed_dual=3733.7, grad_l2=0.983289, infea_inf(ratio=max/min)=e^(120.009), int_gap=262.697, pow_l1=inf, time=13181.2
iter=61, primal_obj=3705, best_primal_obj=3732, dual_obj=3733.78, relaxed_primal=3733, relaxed_dual=3733.78, grad_l2=0.967118, infea_inf(ratio=max/min)=e^(121.601), int_gap=235.336, pow_l1=inf, time=13330.7
iter=62, primal_obj=3726, best_primal_obj=3732, dual_obj=3733.75, relaxed_primal=3731, relaxed_dual=3733.75, grad_l2=1.1949, infea_inf(ratio=max/min)=e^(120), int_gap=250.526, pow_l1=inf, time=13481.3
iter=63, primal_obj=3731, best_primal_obj=3732, dual_obj=3733.67, relaxed_primal=3733, relaxed_dual=3733.67, grad_l2=0.93733, infea_inf(ratio=max/min)=e^(121.601), int_gap=157.16, pow_l1=inf, time=13633
iter=64, primal_obj=3706, best_primal_obj=3732, dual_obj=3733.78, relaxed_primal=3733, relaxed_dual=3733.79, grad_l2=0.945853, infea_inf(ratio=max/min)=e^(120), int_gap=234.395, pow_l1=inf, time=13783.3
iter=65, primal_obj=3732, best_primal_obj=3732, dual_obj=3733.74, relaxed_primal=3733, relaxed_dual=3733.74, grad_l2=1.16082, infea_inf(ratio=max/min)=e^(121.605), int_gap=195.163, pow_l1=inf, time=13935.2
iter=66, primal_obj=3718, best_primal_obj=3732, dual_obj=3733.71, relaxed_primal=3731.04, relaxed_dual=3733.71, grad_l2=0.957248, infea_inf(ratio=max/min)=e^(120.001), int_gap=252.542, pow_l1=inf, time=14089.3
iter=67, primal_obj=-2e+300, best_primal_obj=3732, dual_obj=3733.74, relaxed_primal=3731, relaxed_dual=3733.74, grad_l2=0.92936, infea_inf(ratio=max/min)=e^(121.605), int_gap=245.179, pow_l1=inf, time=14242
iter=68, primal_obj=3685, best_primal_obj=3732, dual_obj=3733.76, relaxed_primal=3732.02, relaxed_dual=3733.77, grad_l2=1.20363, infea_inf(ratio=max/min)=e^(120), int_gap=266.57, pow_l1=inf, time=14396.8
iter=69, primal_obj=3732, best_primal_obj=3732, dual_obj=3733.71, relaxed_primal=3733, relaxed_dual=3733.72, grad_l2=0.892225, infea_inf(ratio=max/min)=e^(121.607), int_gap=157.193, pow_l1=inf, time=14548.6
iter=70, primal_obj=3717.33, best_primal_obj=3732, dual_obj=3733.76, relaxed_primal=3731, relaxed_dual=3733.76, grad_l2=0.935906, infea_inf(ratio=max/min)=e^(120), int_gap=254.448, pow_l1=inf, time=14700.4
iter=71, primal_obj=3712, best_primal_obj=3732, dual_obj=3733.79, relaxed_primal=3730, relaxed_dual=3733.79, grad_l2=1.18714, infea_inf(ratio=max/min)=e^(121.607), int_gap=253.505, pow_l1=inf, time=14851.8
iter=72, primal_obj=3691.67, best_primal_obj=3732, dual_obj=3733.68, relaxed_primal=3731.01, relaxed_dual=3733.68, grad_l2=1.07591, infea_inf(ratio=max/min)=e^(120), int_gap=232.553, pow_l1=inf, time=15004.4
iter=73, primal_obj=3729.67, best_primal_obj=3732, dual_obj=3733.69, relaxed_primal=3733, relaxed_dual=3733.69, grad_l2=0.925292, infea_inf(ratio=max/min)=e^(121.608), int_gap=199.242, pow_l1=inf, time=15156.5
iter=74, primal_obj=3733, best_primal_obj=3733, dual_obj=3733.78, relaxed_primal=3733, relaxed_dual=3733.78, grad_l2=1.144, infea_inf(ratio=max/min)=e^(120.011), int_gap=194.573, pow_l1=inf, time=15312.9
iter=75, primal_obj=3680, best_primal_obj=3733, dual_obj=3733.72, relaxed_primal=3732.28, relaxed_dual=3733.72, grad_l2=0.914233, infea_inf(ratio=max/min)=e^(121.608), int_gap=269.504, pow_l1=inf, time=15463.1
iter=76, primal_obj=3729, best_primal_obj=3733, dual_obj=3733.7, relaxed_primal=3733, relaxed_dual=3733.7, grad_l2=0.964435, infea_inf(ratio=max/min)=e^(120), int_gap=198.487, pow_l1=inf, time=15614.4
iter=77, primal_obj=-2e+300, best_primal_obj=3733, dual_obj=3733.73, relaxed_primal=3731, relaxed_dual=3733.73, grad_l2=1.12621, infea_inf(ratio=max/min)=e^(121.609), int_gap=263.217, pow_l1=inf, time=15771.3
iter=78, primal_obj=3731, best_primal_obj=3733, dual_obj=3733.68, relaxed_primal=3732.98, relaxed_dual=3733.68, grad_l2=0.981325, infea_inf(ratio=max/min)=e^(120), int_gap=154.591, pow_l1=inf, time=15928.1
iter=79, primal_obj=3707.5, best_primal_obj=3733, dual_obj=3733.68, relaxed_primal=3733, relaxed_dual=3733.68, grad_l2=0.904535, infea_inf(ratio=max/min)=e^(121.609), int_gap=235.248, pow_l1=inf, time=16085
iter=80, primal_obj=-2e+300, best_primal_obj=3733, dual_obj=3733.75, relaxed_primal=3728.01, relaxed_dual=3733.75, grad_l2=1.01583, infea_inf(ratio=max/min)=e^(120.049), int_gap=272.591, pow_l1=inf, time=16243.5
iter=81, primal_obj=3687, best_primal_obj=3733, dual_obj=3733.71, relaxed_primal=3730, relaxed_dual=3733.71, grad_l2=0.984486, infea_inf(ratio=max/min)=e^(121.609), int_gap=274.232, pow_l1=inf, time=16401.3
