reading uai file ../../../data//Segmentation/uai/16_16_s.21.uai
done reading uai file
normalizing #tables=842
prob.N=1
param.gamma=0.0001
iter=88, primal_obj=-346.932, best_primal_obj=-340.062, dual_obj=-211.354, relaxed_primal=-184.898, relaxed_dual=-211.351, grad_l2=0.187713, infea_inf(ratio=max/min)=e^(120), int_gap=202.892, pow_l1=3.68846e+09, time=1.8126
iter=89, primal_obj=-349.206, best_primal_obj=-340.062, dual_obj=-211.699, relaxed_primal=-202.614, relaxed_dual=-211.695, grad_l2=0.19245, infea_inf(ratio=max/min)=e^(120), int_gap=211.432, pow_l1=3.69041e+09, time=1.8318
iter=90, primal_obj=-337.373, best_primal_obj=-337.373, dual_obj=-211.878, relaxed_primal=-182.598, relaxed_dual=-211.875, grad_l2=0.186155, infea_inf(ratio=max/min)=e^(120), int_gap=197.479, pow_l1=3.69251e+09, time=1.85099
iter=91, primal_obj=-359.263, best_primal_obj=-337.373, dual_obj=-212.259, relaxed_primal=-201.47, relaxed_dual=-212.255, grad_l2=0.191306, infea_inf(ratio=max/min)=e^(120), int_gap=211.961, pow_l1=3.69438e+09, time=1.8702
iter=92, primal_obj=-330.155, best_primal_obj=-330.155, dual_obj=-212.445, relaxed_primal=-184.406, relaxed_dual=-212.442, grad_l2=0.186008, infea_inf(ratio=max/min)=e^(120), int_gap=187.105, pow_l1=3.69641e+09, time=1.88946
iter=93, primal_obj=-342.002, best_primal_obj=-330.155, dual_obj=-212.777, relaxed_primal=-204.366, relaxed_dual=-212.773, grad_l2=0.190864, infea_inf(ratio=max/min)=e^(120), int_gap=204.677, pow_l1=3.69831e+09, time=1.90878
iter=94, primal_obj=-340.582, best_primal_obj=-330.155, dual_obj=-212.891, relaxed_primal=-184.303, relaxed_dual=-212.888, grad_l2=0.18501, infea_inf(ratio=max/min)=e^(120), int_gap=200.818, pow_l1=3.70037e+09, time=1.92798
iter=95, primal_obj=-354.144, best_primal_obj=-330.155, dual_obj=-213.275, relaxed_primal=-203.61, relaxed_dual=-213.272, grad_l2=0.191515, infea_inf(ratio=max/min)=e^(120), int_gap=211.575, pow_l1=3.70219e+09, time=1.94719
iter=96, primal_obj=-336.57, best_primal_obj=-330.155, dual_obj=-213.422, relaxed_primal=-186.919, relaxed_dual=-213.419, grad_l2=0.186076, infea_inf(ratio=max/min)=e^(120), int_gap=195.149, pow_l1=3.7042e+09, time=1.96641
iter=97, primal_obj=-346.085, best_primal_obj=-330.155, dual_obj=-213.78, relaxed_primal=-205.522, relaxed_dual=-213.777, grad_l2=0.192871, infea_inf(ratio=max/min)=e^(120.077), int_gap=206.704, pow_l1=3.70609e+09, time=1.98564
iter=98, primal_obj=-344.197, best_primal_obj=-330.155, dual_obj=-213.889, relaxed_primal=-184.67, relaxed_dual=-213.887, grad_l2=0.179244, infea_inf(ratio=max/min)=e^(120.146), int_gap=205.81, pow_l1=3.70817e+09, time=2.00622
iter=99, primal_obj=-354.056, best_primal_obj=-330.155, dual_obj=-214.249, relaxed_primal=-206.995, relaxed_dual=-214.246, grad_l2=0.193824, infea_inf(ratio=max/min)=e^(120.002), int_gap=208.439, pow_l1=3.70988e+09, time=2.02638
iter=100, primal_obj=-330.337, best_primal_obj=-330.155, dual_obj=-214.34, relaxed_primal=-187.331, relaxed_dual=-214.337, grad_l2=0.178794, infea_inf(ratio=max/min)=e^(120), int_gap=201.103, pow_l1=3.7119e+09, time=2.04562
iter=101, primal_obj=-347.676, best_primal_obj=-330.155, dual_obj=-214.658, relaxed_primal=-209.212, relaxed_dual=-214.655, grad_l2=0.193211, infea_inf(ratio=max/min)=e^(120), int_gap=198.963, pow_l1=3.71364e+09, time=2.0649
iter=102, primal_obj=-329.472, best_primal_obj=-329.472, dual_obj=-214.809, relaxed_primal=-183.879, relaxed_dual=-214.807, grad_l2=0.182416, infea_inf(ratio=max/min)=e^(120), int_gap=194.577, pow_l1=3.71572e+09, time=2.0841
iter=103, primal_obj=-346.704, best_primal_obj=-329.472, dual_obj=-215.115, relaxed_primal=-208.391, relaxed_dual=-215.112, grad_l2=0.187878, infea_inf(ratio=max/min)=e^(120), int_gap=196.034, pow_l1=3.71749e+09, time=2.1033
iter=104, primal_obj=-339.821, best_primal_obj=-329.472, dual_obj=-215.282, relaxed_primal=-189.531, relaxed_dual=-215.279, grad_l2=0.178401, infea_inf(ratio=max/min)=e^(120), int_gap=204.656, pow_l1=3.71944e+09, time=2.1225
iter=105, primal_obj=-339.722, best_primal_obj=-329.472, dual_obj=-215.516, relaxed_primal=-207.6, relaxed_dual=-215.513, grad_l2=0.188762, infea_inf(ratio=max/min)=e^(120), int_gap=188.165, pow_l1=3.72117e+09, time=2.1417
iter=106, primal_obj=-330.547, best_primal_obj=-329.472, dual_obj=-215.71, relaxed_primal=-183.051, relaxed_dual=-215.708, grad_l2=0.180871, infea_inf(ratio=max/min)=e^(120), int_gap=193.298, pow_l1=3.72317e+09, time=2.16091
