reading uai file ../../../data//Segmentation/uai/16_16_s.21.uai
done reading uai file
normalizing #tables=842
prob.avg_domain_size=21
prob.N=1
param.rho=1
param.eta=1
@0: T=226, n=276402, nf=0, m=0, me=26098
iter=305, #inner=164, relaxed-p-obj=-252.3914, decoded_t=-252.3914, best_decoded=-252.3914, eta=1, p_inf=7.5e-13, d_inf=9.8e-13, gap=1.9e-14, nnz=842(0.0061), time=10
iter=310, #inner=164, relaxed-p-obj=-252.3914, decoded_t=-252.3914, best_decoded=-252.3914, eta=1, p_inf=7.7e-13, d_inf=1e-12, gap=1.6e-14, nnz=842(0.0061), time=10
iter=315, #inner=164, relaxed-p-obj=-252.3914, decoded_t=-252.3914, best_decoded=-252.3914, eta=1, p_inf=7.8e-13, d_inf=9.9e-13, gap=5.2e-14, nnz=842(0.0061), time=11
iter=320, #inner=164, relaxed-p-obj=-252.3914, decoded_t=-252.3914, best_decoded=-252.3914, eta=1, p_inf=7.3e-13, d_inf=9.9e-13, gap=1.9e-14, nnz=842(0.0061), time=11
iter=325, #inner=164, relaxed-p-obj=-252.3914, decoded_t=-252.3914, best_decoded=-252.3914, eta=1, p_inf=7.7e-13, d_inf=9.9e-13, gap=6.6e-14, nnz=842(0.0061), time=11
iter=330, #inner=164, relaxed-p-obj=-252.3914, decoded_t=-252.3914, best_decoded=-252.3914, eta=1, p_inf=6.9e-13, d_inf=1e-12, gap=4.3e-14, nnz=842(0.0061), time=11
iter=335, #inner=164, relaxed-p-obj=-252.3914, decoded_t=-252.3914, best_decoded=-252.3914, eta=1, p_inf=7e-13, d_inf=1e-12, gap=5.4e-14, nnz=842(0.0061), time=11
iter=340, #inner=164, relaxed-p-obj=-252.3914, decoded_t=-252.3914, best_decoded=-252.3914, eta=1, p_inf=7.2e-13, d_inf=1e-12, gap=1.4e-14, nnz=842(0.0061), time=11
iter=345, #inner=164, relaxed-p-obj=-252.3914, decoded_t=-252.3914, best_decoded=-252.3914, eta=1, p_inf=7.4e-13, d_inf=9.9e-13, gap=8.4e-14, nnz=842(0.0061), time=11
iter=350, #inner=164, relaxed-p-obj=-252.3914, decoded_t=-252.3914, best_decoded=-252.3914, eta=1, p_inf=6.9e-13, d_inf=1e-12, gap=6.8e-16, nnz=842(0.0061), time=12
iter=355, #inner=164, relaxed-p-obj=-252.3914, decoded_t=-252.3914, best_decoded=-252.3914, eta=1, p_inf=7.4e-13, d_inf=9.9e-13, gap=4.7e-14, nnz=842(0.0061), time=12
iter=360, #inner=164, relaxed-p-obj=-252.3914, decoded_t=-252.3914, best_decoded=-252.3914, eta=1, p_inf=8.7e-13, d_inf=1e-12, gap=4.3e-15, nnz=842(0.0061), time=12
iter=365, #inner=164, relaxed-p-obj=-252.3914, decoded_t=-252.3914, best_decoded=-252.3914, eta=1, p_inf=7e-13, d_inf=1e-12, gap=3.5e-15, nnz=842(0.0061), time=12
iter=370, #inner=164, relaxed-p-obj=-252.3914, decoded_t=-252.3914, best_decoded=-252.3914, eta=1, p_inf=6.4e-13, d_inf=1e-12, gap=2.7e-14, nnz=842(0.0061), time=12
iter=375, #inner=164, relaxed-p-obj=-252.3914, decoded_t=-252.3914, best_decoded=-252.3914, eta=1, p_inf=7.4e-13, d_inf=1e-12, gap=3.4e-14, nnz=842(0.0061), time=12
iter=380, #inner=164, relaxed-p-obj=-252.3914, decoded_t=-252.3914, best_decoded=-252.3914, eta=1, p_inf=7.5e-13, d_inf=9.9e-13, gap=1.1e-13, nnz=842(0.0061), time=13
iter=385, #inner=164, relaxed-p-obj=-252.3914, decoded_t=-252.3914, best_decoded=-252.3914, eta=1, p_inf=8.1e-13, d_inf=1e-12, gap=1.1e-13, nnz=842(0.0061), time=13
iter=390, #inner=164, relaxed-p-obj=-252.3914, decoded_t=-252.3914, best_decoded=-252.3914, eta=1, p_inf=7.3e-13, d_inf=1e-12, gap=8.1e-14, nnz=842(0.0061), time=13
iter=395, #inner=164, relaxed-p-obj=-252.3914, decoded_t=-252.3914, best_decoded=-252.3914, eta=1, p_inf=6.8e-13, d_inf=9.9e-13, gap=9.9e-14, nnz=842(0.0061), time=13
iter=400, #inner=164, relaxed-p-obj=-252.3914, decoded_t=-252.3914, best_decoded=-252.3914, eta=1, p_inf=7e-13, d_inf=1e-12, gap=1.2e-13, nnz=842(0.0061), time=13
iter=405, #inner=164, relaxed-p-obj=-252.3914, decoded_t=-252.3914, best_decoded=-252.3914, eta=1, p_inf=7.3e-13, d_inf=9.9e-13, gap=1.4e-13, nnz=842(0.0061), time=13
iter=410, #inner=164, relaxed-p-obj=-252.3914, decoded_t=-252.3914, best_decoded=-252.3914, eta=1, p_inf=7.4e-13, d_inf=1e-12, gap=2.8e-14, nnz=842(0.0061), time=14
iter=415, #inner=164, relaxed-p-obj=-252.3914, decoded_t=-252.3914, best_decoded=-252.3914, eta=1, p_inf=6.8e-13, d_inf=9.9e-13, gap=2.1e-13, nnz=842(0.0061), time=14
iter=420, #inner=164, relaxed-p-obj=-252.3914, decoded_t=-252.3914, best_decoded=-252.3914, eta=1, p_inf=6.8e-13, d_inf=1e-12, gap=2e-13, nnz=842(0.0061), time=14
iter=425, #inner=164, relaxed-p-obj=-252.3914, decoded_t=-252.3914, best_decoded=-252.3914, eta=1, p_inf=6.8e-13, d_inf=1e-12, gap=7e-14, nnz=842(0.0061), time=14
iter=430, #inner=164, relaxed-p-obj=-252.3914, decoded_t=-252.3914, best_decoded=-252.3914, eta=1, p_inf=7.5e-13, d_inf=9.9e-13, gap=1.7e-13, nnz=842(0.0061), time=14
iter=435, #inner=164, relaxed-p-obj=-252.3914, decoded_t=-252.3914, best_decoded=-252.3914, eta=1, p_inf=6.6e-13, d_inf=9.8e-13, gap=1.6e-13, nnz=842(0.0061), time=14
iter=440, #inner=164, relaxed-p-obj=-252.3914, decoded_t=-252.3914, best_decoded=-252.3914, eta=1, p_inf=6.6e-13, d_inf=1e-12, gap=7.6e-14, nnz=842(0.0061), time=15
iter=445, #inner=164, relaxed-p-obj=-252.3914, decoded_t=-252.3914, best_decoded=-252.3914, eta=1, p_inf=7.1e-13, d_inf=9.9e-13, gap=1.8e-13, nnz=842(0.0061), time=15
iter=450, #inner=164, relaxed-p-obj=-252.3914, decoded_t=-252.3914, best_decoded=-252.3914, eta=1, p_inf=6.9e-13, d_inf=1e-12, gap=9.9e-14, nnz=842(0.0061), time=15
iter=455, #inner=164, relaxed-p-obj=-252.3914, decoded_t=-252.3914, best_decoded=-252.3914, eta=1, p_inf=6.4e-13, d_inf=9.9e-13, gap=8.7e-14, nnz=842(0.0061), time=15
iter=460, #inner=164, relaxed-p-obj=-252.3914, decoded_t=-252.3914, best_decoded=-252.3914, eta=1, p_inf=6.9e-13, d_inf=9.9e-13, gap=1.3e-13, nnz=842(0.0061), time=15
iter=465, #inner=164, relaxed-p-obj=-252.3914, decoded_t=-252.3914, best_decoded=-252.3914, eta=1, p_inf=7.2e-13, d_inf=1e-12, gap=8.4e-14, nnz=842(0.0061), time=15
iter=470, #inner=164, relaxed-p-obj=-252.3914, decoded_t=-252.3914, best_decoded=-252.3914, eta=1, p_inf=8.2e-13, d_inf=1e-12, gap=6.1e-14, nnz=842(0.0061), time=15
iter=475, #inner=164, relaxed-p-obj=-252.3914, decoded_t=-252.3914, best_decoded=-252.3914, eta=1, p_inf=7.9e-13, d_inf=1e-12, gap=7.2e-14, nnz=842(0.0061), time=16
iter=480, #inner=164, relaxed-p-obj=-252.3914, decoded_t=-252.3914, best_decoded=-252.3914, eta=1, p_inf=7e-13, d_inf=9.9e-13, gap=5.6e-14, nnz=842(0.0061), time=16
iter=485, #inner=164, relaxed-p-obj=-252.3914, decoded_t=-252.3914, best_decoded=-252.3914, eta=1, p_inf=7e-13, d_inf=9.9e-13, gap=8.7e-14, nnz=842(0.0061), time=16
iter=490, #inner=164, relaxed-p-obj=-252.3914, decoded_t=-252.3914, best_decoded=-252.3914, eta=1, p_inf=8.2e-13, d_inf=1e-12, gap=1.3e-13, nnz=842(0.0061), time=16
iter=495, #inner=164, relaxed-p-obj=-252.3914, decoded_t=-252.3914, best_decoded=-252.3914, eta=1, p_inf=6.3e-13, d_inf=1e-12, gap=1.4e-14, nnz=842(0.0061), time=16
iter=500, #inner=164, relaxed-p-obj=-252.3914, decoded_t=-252.3914, best_decoded=-252.3914, eta=1, p_inf=7.3e-13, d_inf=1e-12, gap=9.8e-14, nnz=842(0.0061), time=16
iter=505, #inner=164, relaxed-p-obj=-252.3914, decoded_t=-252.3914, best_decoded=-252.3914, eta=1, p_inf=7.6e-13, d_inf=1e-12, gap=3.5e-14, nnz=842(0.0061), time=17
iter=510, #inner=164, relaxed-p-obj=-252.3914, decoded_t=-252.3914, best_decoded=-252.3914, eta=1, p_inf=7.5e-13, d_inf=1e-12, gap=1e-13, nnz=842(0.0061), time=17
iter=515, #inner=164, relaxed-p-obj=-252.3914, decoded_t=-252.3914, best_decoded=-252.3914, eta=1, p_inf=7.1e-13, d_inf=9.9e-13, gap=2.7e-14, nnz=842(0.0061), time=17
iter=520, #inner=164, relaxed-p-obj=-252.3914, decoded_t=-252.3914, best_decoded=-252.3914, eta=1, p_inf=7.4e-13, d_inf=9.9e-13, gap=6e-14, nnz=842(0.0061), time=17
iter=525, #inner=164, relaxed-p-obj=-252.3914, decoded_t=-252.3914, best_decoded=-252.3914, eta=1, p_inf=7.3e-13, d_inf=9.9e-13, gap=5.3e-14, nnz=842(0.0061), time=17
iter=530, #inner=164, relaxed-p-obj=-252.3914, decoded_t=-252.3914, best_decoded=-252.3914, eta=1, p_inf=6.7e-13, d_inf=1e-12, gap=7e-14, nnz=842(0.0061), time=17
