reading model...done
reading test data...done
2.81522
prob.D=5001
prob.K=3884
prob.N=1
param.rho=0.25
param.eta=0.1
iter=60, decoded_t=730.69, best_decoded=863.009, dinf=4.36547, p_inf=0.711112, acc=0.978421, uni_act_size=30.5, area1=0, area23=0, area4=0, bi_act_size=630.333, bi_ever_nnz_msg=0, uni_search=0.00082203, uni_subsolve=0.000521854, bi_search=5.58029e-05, bi_subsolve=0.00492814, maintain=0.00139564, construct=0, overall time=6.80459
iter=61, decoded_t=726.811, best_decoded=863.009, dinf=4.50738, p_inf=0.681602, acc=0.975824, uni_act_size=31, area1=0, area23=0, area4=0, bi_act_size=651, bi_ever_nnz_msg=0, uni_search=0.000849827, uni_subsolve=0.000534565, bi_search=5.66409e-05, bi_subsolve=0.00516204, maintain=0.00146751, construct=0, overall time=6.85247
iter=62, decoded_t=697.334, best_decoded=863.009, dinf=4.71257, p_inf=0.687061, acc=0.973484, uni_act_size=31.5, area1=0, area23=0, area4=0, bi_act_size=672, bi_ever_nnz_msg=0, uni_search=0.000878462, uni_subsolve=0.000553143, bi_search=5.75489e-05, bi_subsolve=0.00540062, maintain=0.00154049, construct=0, overall time=6.90043
iter=63, decoded_t=698.548, best_decoded=863.009, dinf=4.88021, p_inf=0.718544, acc=0.97137, uni_act_size=32, area1=0, area23=0, area4=0, bi_act_size=693.333, bi_ever_nnz_msg=0, uni_search=0.000907237, uni_subsolve=0.000569975, bi_search=5.82469e-05, bi_subsolve=0.00565407, maintain=0.00161655, construct=0, overall time=6.94864
iter=64, decoded_t=694.751, best_decoded=863.009, dinf=5.03993, p_inf=0.748795, acc=0.969414, uni_act_size=32.5, area1=0, area23=0, area4=0, bi_act_size=715, bi_ever_nnz_msg=0, uni_search=0.00093671, uni_subsolve=0.000615721, bi_search=5.90849e-05, bi_subsolve=0.00590731, maintain=0.00169414, construct=0, overall time=6.99567
iter=65, decoded_t=686.434, best_decoded=863.009, dinf=5.20255, p_inf=0.777705, acc=0.967595, uni_act_size=33, area1=0, area23=0, area4=0, bi_act_size=737, bi_ever_nnz_msg=0, uni_search=0.000970024, uni_subsolve=0.00062913, bi_search=5.97829e-05, bi_subsolve=0.00616775, maintain=0.0017732, construct=0, overall time=7.04345
iter=66, decoded_t=682.554, best_decoded=863.009, dinf=5.38156, p_inf=0.805181, acc=0.965904, uni_act_size=33.5, area1=0, area23=0, area4=0, bi_act_size=759.333, bi_ever_nnz_msg=0, uni_search=0.0010032, uni_subsolve=0.000647708, bi_search=6.05519e-05, bi_subsolve=0.00644174, maintain=0.00185582, construct=0, overall time=7.09077
iter=67, decoded_t=651.235, best_decoded=863.009, dinf=5.55018, p_inf=0.831096, acc=0.964333, uni_act_size=34, area1=0, area23=0, area4=0, bi_act_size=782, bi_ever_nnz_msg=0, uni_search=0.00103511, uni_subsolve=0.000665238, bi_search=6.12508e-05, bi_subsolve=0.00671971, maintain=0.00194152, construct=0, overall time=7.13877
iter=68, decoded_t=555.214, best_decoded=863.009, dinf=5.6446, p_inf=0.854868, acc=0.962873, uni_act_size=34.5, area1=0, area23=0, area4=0, bi_act_size=805, bi_ever_nnz_msg=0, uni_search=0.00106808, uni_subsolve=0.000681232, bi_search=6.20898e-05, bi_subsolve=0.00700781, maintain=0.00202931, construct=0, overall time=7.18555
iter=69, decoded_t=519.762, best_decoded=863.009, dinf=6.02298, p_inf=0.876465, acc=0.961511, uni_act_size=35, area1=0, area23=0, area4=0, bi_act_size=828.333, bi_ever_nnz_msg=0, uni_search=0.00110237, uni_subsolve=0.000696947, bi_search=6.50928e-05, bi_subsolve=0.0072989, maintain=0.00211899, construct=0, overall time=7.23267
iter=70, decoded_t=516.746, best_decoded=863.009, dinf=5.90555, p_inf=0.896189, acc=0.960251, uni_act_size=35.5, area1=0, area23=0, area4=0, bi_act_size=852, bi_ever_nnz_msg=0, uni_search=0.00113632, uni_subsolve=0.000716852, bi_search=6.58609e-05, bi_subsolve=0.00760083, maintain=0.00221138, construct=0, overall time=7.28124
iter=71, decoded_t=513.764, best_decoded=863.009, dinf=6.03044, p_inf=0.913869, acc=0.958447, uni_act_size=36, area1=0, area23=0, area4=0, bi_act_size=876, bi_ever_nnz_msg=0, uni_search=0.00117228, uni_subsolve=0.000734592, bi_search=6.66289e-05, bi_subsolve=0.00791476, maintain=0.00230714, construct=0, overall time=7.3294
iter=72, decoded_t=510.897, best_decoded=863.009, dinf=6.16701, p_inf=0.927811, acc=0.955394, uni_act_size=36.5, area1=0, area23=0, area4=0, bi_act_size=900.333, bi_ever_nnz_msg=0, uni_search=0.0012086, uni_subsolve=0.000753938, bi_search=6.73968e-05, bi_subsolve=0.00823296, maintain=0.00240519, construct=0, overall time=7.37812
iter=73, decoded_t=506.366, best_decoded=863.009, dinf=6.27718, p_inf=0.940118, acc=0.952671, uni_act_size=37, area1=0, area23=0, area4=0, bi_act_size=925, bi_ever_nnz_msg=0, uni_search=0.00125707, uni_subsolve=0.000769652, bi_search=6.80959e-05, bi_subsolve=0.00860061, maintain=0.00250709, construct=0, overall time=7.42638
iter=74, decoded_t=507.12, best_decoded=863.009, dinf=6.43446, p_inf=0.95048, acc=0.95031, uni_act_size=37.5, area1=0, area23=0, area4=0, bi_act_size=950, bi_ever_nnz_msg=0, uni_search=0.00129388, uni_subsolve=0.000788648, bi_search=6.89339e-05, bi_subsolve=0.00895449, maintain=0.00261067, construct=0, overall time=7.47453
